symbol,name,date,attention,comment,signals_buy,signals_sell,gyazo_url,image_path
9237.T,EMIMEN CO LTD,2025-06-24,強い買い,★ 買いタイミングが揃っています。チャンスに注目。,直近高値突破、押し目陽線、上昇トレンドライン反発、下値切り上げ継続,,https://i.gyazo.com/fc88a4183184ab104288e834c51ff63b.png,output/2025-06-24\chart_9237.T_EMIMEN CO LTD_2025-06-24.png
9973.T,KOZO HOLDINGS CO LTD,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,https://i.gyazo.com/b6f833c2cb14358d9f6a0be9af9731f1.png,output/2025-06-24\chart_9973.T_KOZO HOLDINGS CO LTD_2025-06-24.png
3760.T,CAVE INTERACTIVE CO LTD,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_3760.T_CAVE INTERACTIVE CO LTD_2025-06-24.png
5255.T,MONSTARLAB INC,2025-06-24,強い買い,★ 買いタイミングが揃っています。チャンスに注目。,直近高値突破、押し目陽線、上昇トレンドライン反発、下値切り上げ継続,RSI反落（過熱から下降）,,output/2025-06-24\chart_5255.T_MONSTARLAB INC_2025-06-24.png
9227.T,MICROWAVE CHEMICAL CO LTD,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_9227.T_MICROWAVE CHEMICAL CO LTD_2025-06-24.png
8551.T,KITA-NIPPON BANK,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_8551.T_KITA-NIPPON BANK_2025-06-24.png
8524.T,NORTH PACIFIC BANK LIMITED,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_8524.T_NORTH PACIFIC BANK LIMITED_2025-06-24.png
8570.T,AEON FINANCIAL SERVICE CO LIMIT,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_8570.T_AEON FINANCIAL SERVICE CO LIMIT_2025-06-24.png
8544.T,KEIYO BANK,2025-06-24,強い買い,★ 買いタイミングが揃っています。チャンスに注目。,直近高値突破、押し目陽線,,,output/2025-06-24\chart_8544.T_KEIYO BANK_2025-06-24.png
8550.T,TOCHIGI BANK,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_8550.T_TOCHIGI BANK_2025-06-24.png
8881.T,NISSHIN GROUP HLDGS CO LTD,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_8881.T_NISSHIN GROUP HLDGS CO LTD_2025-06-24.png
8892.T,ES-CON JAPAN LTD,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_8892.T_ES-CON JAPAN LTD_2025-06-24.png
8850.T,STARTS CORPORATION,2025-06-24,強い買い,★ 買いタイミングが揃っています。チャンスに注目。,押し目陽線、上昇トレンドライン反発、下値切り上げ継続,RSI過熱,,output/2025-06-24\chart_8850.T_STARTS CORPORATION_2025-06-24.png
8877.T,ESLEAD CORPORATION,2025-06-24,強い買い,★ 買いタイミングが揃っています。チャンスに注目。,押し目陽線、下値切り上げ継続,,,output/2025-06-24\chart_8877.T_ESLEAD CORPORATION_2025-06-24.png
8876.T,RELO GROUP INC,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_8876.T_RELO GROUP INC_2025-06-24.png
9147.T,NIPPON EXPRESS HLDGS INC,2025-06-24,強い買い,★ 買いタイミングが揃っています。チャンスに注目。,直近高値突破、押し目陽線、上昇トレンドライン反発,,,output/2025-06-24\chart_9147.T_NIPPON EXPRESS HLDGS INC_2025-06-24.png
9119.T,IINO KAIUN KAISHA,2025-06-24,打診買い,🔍 やや買い寄り。慎重に押し目を狙いたい場面。,押し目陽線,,,output/2025-06-24\chart_9119.T_IINO KAIUN KAISHA_2025-06-24.png
9143.T,SG HOLDINGS CO LTD,2025-06-24,強い買い,★ 買いタイミングが揃っています。チャンスに注目。,中期ゴールデンクロス、押し目陽線、下値切り上げ継続,,,output/2025-06-24\chart_9143.T_SG HOLDINGS CO LTD_2025-06-24.png
